model_id,canonical_id,skill_label,n_prompts,token_count,mean_sequence_log_probability,mean_token_log_probability,mean_within_model_sequence_probability,sequence_probability_ci_low,sequence_probability_ci_high,sequence_prompt_range,mean_within_model_length_normalized_probability,length_probability_ci_low,length_probability_ci_high,length_probability_prompt_range,record_ids_json,uncertainty_type,interpretation_warning,within_model_sequence_rank,within_model_length_normalized_rank
qwen3_5_0_8b_2026,ai_literacy,AI literacy,3,2,-25.701846440633137,-12.850923220316568,1.0272245896190515e-06,3.82030181422021e-08,1.780561966781841e-06,1.7423589486396392e-06,0.00013058481169966036,3.103075423590912e-05,0.0001907767580449627,0.00015974600380905358,"[""a0fd2eaa7961dad52005c852fa7af6f708c04b43269489ead1a01e112e970cfb"",""e292438e23f5eebb527d240ddddd6ea83e24a44b283db97a9d19347faea98c64"",""73647c7e356602688b937d0734cec0ebd2cba55ff1e2f7b848561595f40efccf""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,14,14
qwen3_5_0_8b_2026,attention_to_detail,Attention to detail,3,3,-12.536057790120443,-4.178685930040148,0.2752789304948135,0.11945136900127855,0.5026567279571759,0.3832053589558973,0.5896734499811156,0.49937780348522226,0.6798101256557962,0.18043232217057398,"[""5ac9bb46e123db7765b1fd589e2d992d4b072cdac235c9a70cb5971cf464950c"",""3ebf24e1c85dd27f9635946fae3464799b055fdcf4482a36976cfa4e10ae63d9"",""d9cc746e7757987208105f2e5451593f6a166f5bde85ca661c367f3bf1fd0ac7""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,2,1
qwen3_5_0_8b_2026,complaint_handling,Complaint handling,3,2,-17.592623392740887,-8.796311696370443,0.004122413113078643,0.0004988278936214306,0.011308602887312516,0.010809774993691085,0.007884721077591595,0.0031931717863287086,0.016882935884823223,0.013689764098494515,"[""519ebca69447f55395822798f2e4af32269fcc38dc3d68677ff7d979989e9d59"",""63691081fe1d3c5e6563229517c55eecc07696f46b257642b76c2781769f6b06"",""df918eaffbfe991c90f8987c803b9ac5b8e986c926fc14369276426b8a01dce0""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,7,7
qwen3_5_0_8b_2026,customer_service,Customer service,3,2,-11.589415868123373,-5.7947079340616865,0.6079019230856222,0.4430924049499259,0.7538835939545624,0.3107911890046363,0.11682850065682367,0.10066406552909113,0.125685059964738,0.02502099443564687,"[""622f30481234a74623f5b9066562116a68ec290fa6ea1a0aaa78ceefd17f815d"",""2810c708615a7656177eb418dc71803b92cda2ecc608010297a9e1132399164c"",""725c24ce26af6ea323e31c69c13cb0c8fc3fb7e358d7a53bec599cb62d2759a4""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,1,3
qwen3_5_0_8b_2026,data_privacy,Data privacy,3,2,-22.71222686767578,-11.35611343383789,1.0990144940351692e-05,3.2474935076375334e-06,1.8478518928708315e-05,1.523102542107078e-05,0.00047186342841786297,0.0002860998565865438,0.0006500711505619325,0.0003639712939753887,"[""ddd2f61036bf217ccc686b9dbd712de3bfe9e25f46119c7e375931113a3aaf18"",""4d7de5795278e391a7a17eefb96ace66f313e86329ab9fcd24fcddc12943773c"",""8057a1a12783422b96471e9f152c3e9b0dc7b53a1c09e1c4817d4ce0eb725dad""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,13,13
qwen3_5_0_8b_2026,guest_communication,Guest communication,3,2,-15.33808708190918,-7.66904354095459,0.06615300643023285,0.0022736009797382868,0.18985155255866595,0.18757795157892768,0.029342608590408253,0.006817168709917508,0.06917522348168674,0.062358054771769235,"[""360a8efb17f33676ca47ea8456c6cce89fe71f70756c4bf2784de364ffd65d77"",""f854968be8c1c92506717b67deb3df43f6feb5d0d6bae624a7d314a0c693434d"",""b72caa675c325597db5a6314131e9e9c0f77d925cc625dc9c7fd49bdb82c2995""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,3,4
qwen3_5_0_8b_2026,local_knowledge,Local knowledge,3,2,-18.746980667114258,-9.373490333557129,0.000633921195072871,0.0001453129326797914,0.0011788089422174843,0.001033496009537693,0.003515793690810605,0.0018229696875484511,0.004908724169214447,0.0030857544816659957,"[""3ef417d996f147a4180c83ee7ed086b53e51ddf2af2b152dab18136a0fa033e6"",""b2018f7d8eccfd80fd24d19ec705e78a7f4a1d3ea299d198d9ff5d0fe5fff90e"",""0aa24decade409c58d9c620b1ad57e7cdddff432290cd0238b09acfc5676f048""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,10,10
qwen3_5_0_8b_2026,multitasking,Multitasking,3,3,-15.792582829793295,-5.264194276597765,0.009387293573716479,0.005444077425327719,0.012120096835235324,0.006676019409907605,0.20113027471043377,0.1504083314458092,0.2302572266668708,0.07984889522106159,"[""5fbc3c240b83f509e9110e3cc008f145f5997e7622e7a9eb88d5e5d9de660b4e"",""912b820bb4b0fe2928a7629e04cc7f8f7d32b5244c301f3a2722725a505a116a"",""87c433a4af109fe8bfafed63589e373a268cf181506e951ed185a8155877b6b6""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,6,2
qwen3_5_0_8b_2026,payment_processing,Payment processing,3,2,-18.17155647277832,-9.08577823638916,0.0009185303579150279,0.0004059412837454257,0.001276925555295316,0.0008709842715498902,0.004467574502711798,0.003046905072205553,0.0056731763488545,0.002626271276648947,"[""b8aea7930eb5713d44bc9f8702c63a6e50f9652e5206f2885018425e42739031"",""bec29299064266c41f47cf9ff5ef88e8ebe9c836f5f1da7196192bd181bdcfc8"",""a2d40e653678b78e1d5c184a2e64151f265a48e3a5b83462b6078904e5cf2b0b""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,8,8
qwen3_5_0_8b_2026,problem_solving,Problem solving,3,2,-18.4499568939209,-9.22497844696045,0.0007700964852571279,0.00026374420575565096,0.001387319469231119,0.001123575263475468,0.0040393306263444085,0.0023218725744669206,0.005913324811329663,0.003591452236862742,"[""f811019870cefd86a737ad7ae4dff0f2c9152422ee3667beb80bd9c1f5615609"",""2057087a9d8101440248281d6f96179adb733e6631e6eac27f6a4d08f7b64cd5"",""26a5655de0b74abec122b64553fdae021f7947ecc7313897aec35a5e9461daad""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,9,9
qwen3_5_0_8b_2026,record_keeping,Record keeping,3,2,-23.129578908284504,-11.564789454142252,0.00037738069338577156,3.6022703942230654e-07,0.0011313084466376545,0.0011309482195982323,0.0018430151907928348,9.076438467948163e-05,0.005339910882833064,0.005249146498153582,"[""952303908dee304a57ee7cd43048aee1dbaa3a86d75fd06ce23086545c9aef5a"",""456934bb4c60df7ed59133bea07a2b7b10520cb5d93dd24252762f3e99d25e08"",""8b0e5e8a704b3d71cb8a388fe94988244d1d49a727545009bf7a7365409973cf""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,11,11
qwen3_5_0_8b_2026,reservation_systems,Reservation systems,3,2,-20.779003143310547,-10.389501571655273,6.940726487972833e-05,2.9631611188963035e-05,0.00011061576715219871,8.098415596323568e-05,0.0012238986060230121,0.0008231992130903268,0.00166975215319477,0.0008465529401044433,"[""5ab28216a63d33b55ae336f6cd3c1ecf1643dc4ce7d092c6434356f8b2ae7825"",""413d5ba4d17563b15211c4ceee15f9d6f9e96559d8a8b47022d4de9190a5da19"",""86c59f63d405228c0d00e04632f5f625bad186442776035b16a5673f174fdda7""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,12,12
qwen3_5_0_8b_2026,teamwork,Teamwork,3,2,-15.245235443115234,-7.622617721557617,0.015488673396473931,0.012657881186773523,0.017517040773015614,0.004859159586242091,0.018788009505098232,0.01608523556819059,0.020263696655969752,0.00417846108777916,"[""895039e66a725026204c0bc5e7a1c1440f310c05ada072b382908ebd113ff243"",""581d6fe827f643e109f7effd4704a51874f9cb100a39636c71e12a55ed7a4b0b"",""1e9c16b3536e4a0bec33004d3361f1d1d373b5aa5f95181e334d515f3fbfa13d""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,5,6
