model_id,prompt_variant,canonical_id,skill_label,target_text,token_count,sequence_log_probability,sequence_probability,mean_token_log_probability,geometric_mean_token_probability,within_model_prompt_sequence_probability,within_model_prompt_length_normalized_probability,normalization_scope,record_id,interpretation_warning
qwen1_5_0_5b_chat_2024,direct_completion,ai_literacy,AI literacy, AI literacy,2,-28.880823135375977,2.8656152485352134e-13,-14.440411567687988,5.353144168183044e-07,9.456008051315497e-09,1.7042218784869745e-05,within_model_prompt_over_approved_taxonomy,489979f05a190f25321749162b708295087857ce71db2710ff5f316cf8187541,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,attention_to_detail,Attention to detail, Attention to detail,3,-12.179712295532227,5.133554285381985e-06,-4.059904098510742,0.017250673401290644,0.16939793532732772,0.549190795268482,within_model_prompt_over_approved_taxonomy,32d3087d59eb78f3fe37c53c36fdbdb6c1ca2635c1c2aaacf8e1e8c667138ce1,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,complaint_handling,Complaint handling, Complaint handling,2,-21.402517318725586,5.069963463743368e-10,-10.701258659362793,2.2516579366643076e-05,1.6729955410984958e-05,0.0007168356760013452,within_model_prompt_over_approved_taxonomy,067641f9ab82d1cb83aec981ea10e30ebb4fa0ef54c87b653f33ee531d6d104a,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,customer_service,Customer service, Customer service,2,-10.6407470703125,2.3921161549180043e-05,-5.32037353515625,0.004890926451009056,0.78935473393188,0.15570706863120803,within_model_prompt_over_approved_taxonomy,356915dd0e9a69ac2f89a32fcad5f4108b4fe2a5e09ac8b7e30fbf9327dcb358,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,data_privacy,Data privacy, Data privacy,2,-28.856664657592773,2.935687158204107e-13,-14.428332328796387,5.418198185932393e-07,9.687232582361251e-09,1.72493241361339e-05,within_model_prompt_over_approved_taxonomy,d3a544f88e991035709bfdccf188e02ab9da86d1f44ca38b0abbc99a356f6ba8,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,guest_communication,Guest communication, Guest communication,2,-20.738985061645508,9.84403677495057e-10,-10.369492530822754,3.137520800719984e-05,3.248352724566212e-05,0.0009988581336134363,within_model_prompt_over_approved_taxonomy,9258e199008d8b19a656cd101a73257b47321c2825389ac1219c5ccda3099040,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,local_knowledge,Local knowledge, Local knowledge,2,-19.509309768676758,3.366777543230593e-09,-9.754654884338379,5.802393939772267e-05,0.00011109752285150672,0.0018472446078575332,within_model_prompt_over_approved_taxonomy,061176fddcf8f45beab48a45a4ef3e7e25fe7009200d35f97df123c95dd0a792,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,multitasking,Multitasking, Multitasking,3,-14.690547943115234,4.1684643552028296e-07,-4.896849314371745,0.007470081912477629,0.013755172654308012,0.23781681623671308,within_model_prompt_over_approved_taxonomy,086b781fe2a501e568ae11b40857888e0912aa6a1beedd8754b9b2745d046b56,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,payment_processing,Payment processing, Payment processing,2,-15.230117797851562,2.4302104367942846e-07,-7.615058898925781,0.0004929716459183311,0.008019251526688448,0.015694198363667654,within_model_prompt_over_approved_taxonomy,ebae22f0bbce7b75b13d63cf6ceeccdb3baee96a41f8907d5d57cdb2f50f86bc,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,problem_solving,Problem solving, Problem solving,2,-18.189517974853516,1.2600643222924363e-08,-9.094758987426758,0.00011225258670927972,0.0004157982612237717,0.003573662658363309,within_model_prompt_over_approved_taxonomy,bff982124dcc5064c5bea9e083be562987494b8f1bd5335a6073c6216148d95e,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,record_keeping,Record keeping, Record keeping,2,-20.227964401245117,1.6409928183323862e-09,-10.113982200622559,4.0509169558661485e-05,5.414977223559143e-05,0.001289646063551502,within_model_prompt_over_approved_taxonomy,1a04f1622f04b3726370709f33e156dfd62d7d1212131779c39aabfd2eaf062c,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,reservation_systems,Reservation systems, Reservation systems,2,-24.13725471496582,3.2909665570525384e-11,-12.06862735748291,5.736694655507244e-06,1.0859589847592356e-06,0.00018263286462978073,within_model_prompt_over_approved_taxonomy,2b2ba607059a162da3a3934db78109268b87cd50fcf75dc7dc39d0bdad6342c0,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,teamwork,Teamwork, Teamwork,2,-15.727986335754395,1.477142259164464e-07,-7.863993167877197,0.0003843360845880157,0.004874300240668158,0.012235686980745633,within_model_prompt_over_approved_taxonomy,398bfd9f421fe9292c6009fdc3a5ab99dc15553d0f1411dd765e7029007b52c4,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,direct_completion,time_management,Time management, Time management,2,-14.675248146057129,4.2327313965754824e-07,-7.3376240730285645,0.0006505944509889,0.013967242177934628,0.020712262972245665,within_model_prompt_over_approved_taxonomy,d9e2e790439895aaf9ffd720db6a3a849e1f42ab51ac18cb44b2eac34055965e,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,ai_literacy,AI literacy, AI literacy,2,-24.26400089263916,2.8992008507089575e-11,-12.13200044631958,5.3844227645207775e-06,4.880042315783195e-07,0.00018285365510751247,within_model_prompt_over_approved_taxonomy,05dd41b01e5a47b0f3796c63fc537a4fe8bbebca65eb7b1e60626156bd1c17d2,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,attention_to_detail,Attention to detail, Attention to detail,3,-12.394686698913574,4.140530248777872e-06,-4.131562232971191,0.016057773234514832,0.0696949396206036,0.5453179769178004,within_model_prompt_over_approved_taxonomy,0ea17d849cb34fe9be664f421af89b00319222d19ab6a2a58bf7c725f857dfba,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,complaint_handling,Complaint handling, Complaint handling,2,-20.68053436279297,1.0436576081774366e-09,-10.340267181396484,3.230569002787956e-05,1.7567231638503165e-05,0.0010970931817041014,within_model_prompt_over_approved_taxonomy,ece9ce161d5fe6844ebe3e3ba8e7b478b95f4439fdd951809285e64759d941b2,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,customer_service,Customer service, Customer service,2,-9.85152530670166,5.266679869709669e-05,-4.92576265335083,0.007257189448891126,0.8865070738918192,0.24645234495354898,within_model_prompt_over_approved_taxonomy,8260575c07f6eec07d4319024e159605e68980f25db2dec87fabffaba3833cd7,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,data_privacy,Data privacy, Data privacy,2,-27.42764949798584,1.2255278117594872e-12,-13.71382474899292,1.1070355964283567e-06,2.062853830597147e-08,3.75946529449506e-05,within_model_prompt_over_approved_taxonomy,b3c52fba9864aebf58c9ccd4c72946251a1103c29a384324adb1beceb4c19a8a,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,guest_communication,Guest communication, Guest communication,2,-18.826088905334473,6.667046322317019e-09,-9.413044452667236,8.165198296622696e-05,0.00011222219449279514,0.0027728809911678203,within_model_prompt_over_approved_taxonomy,94f050bf321525dada061a2b39096907e36104dfad253f0aa5849e61208d742c,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,local_knowledge,Local knowledge, Local knowledge,2,-17.97505283355713,1.56147035154107e-08,-8.987526416778564,0.00012495880727428018,0.0002628324763528512,0.004243569951181381,within_model_prompt_over_approved_taxonomy,1d30f24ae25b8c1b04bca34ec9c88bf8d8a98dca33626d5114c7162d52ffa6ab,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,multitasking,Multitasking, Multitasking,3,-17.012282371520996,4.089400459667203e-08,-5.670760790506999,0.0034452431704946563,0.0006883430406168355,0.11699959940185187,within_model_prompt_over_approved_taxonomy,7278d044437149485089e956861e3ed00133ed8280ee7e176378db244390fde9,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,payment_processing,Payment processing, Payment processing,2,-14.802376747131348,3.7274296857376795e-07,-7.401188373565674,0.0006105267959506511,0.006274147784917429,0.020733337827084773,within_model_prompt_over_approved_taxonomy,f2b85a0787a947603da4be8a2477bb9c04617238c1069d89556b4963d1bc9879,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,problem_solving,Problem solving, Problem solving,2,-19.396130561828613,3.7702272385383824e-09,-9.698065280914307,6.140217617103145e-05,6.346186211861296e-05,0.0020852025993222285,within_model_prompt_over_approved_taxonomy,3ad6bb9635aefcfd4b576e3765641d8ba661c23cb4025bc7952612a4e8d63d90,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,record_keeping,Record keeping, Record keeping,2,-18.99688720703125,5.6202639551721476e-09,-9.498443603515625,7.496841971905335e-05,9.460236575332198e-05,0.0025459088490580434,within_model_prompt_over_approved_taxonomy,32143b7fd8f83a5c97857e66484bfca868b74feb3d3d25430e98685c8247f6ea,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,reservation_systems,Reservation systems, Reservation systems,2,-23.408048629760742,6.823601373928812e-11,-11.704024314880371,8.260509290551528e-06,1.1485738714054961e-06,0.0002805248367159642,within_model_prompt_over_approved_taxonomy,d5e2058d0475c3ca5dc7394aaec47f9ca15bbb5862a90ec5adc48ec475881aaf,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,teamwork,Teamwork, Teamwork,2,-16.695656776428223,5.6126555495384854e-08,-8.347828388214111,0.00023691043770882037,0.0009447429825003456,0.00804541941870235,within_model_prompt_over_approved_taxonomy,9d68218fcb2472726f93628cb849eb4f0dc5fb5127fd878e11029cd75eeefb74,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,hiring_completion,time_management,Time management, Time management,2,-13.073843955993652,2.099431517166391e-06,-6.536921977996826,0.0014489415161304446,0.03533840934254541,0.049205692763809754,within_model_prompt_over_approved_taxonomy,b0ae5fd99cd978abb5daeda0523b2543e4c5179deac5c25a931a1364984b379e,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,task_completion,ai_literacy,AI literacy, AI literacy,2,-30.07199192047119,8.7076276371025e-14,-15.035995960235596,2.950868963051816e-07,2.013601615919443e-08,1.9494472230499343e-05,within_model_prompt_over_approved_taxonomy,8f65d56e3f8e7b1fa718babdd7d7fc48625031a6fe50830e4be41d5d344e61af,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
qwen1_5_0_5b_chat_2024,task_completion,attention_to_detail,Attention to detail, Attention to detail,3,-14.58759880065918,4.620471934951912e-07,-4.86253293355306,0.0077308772720506595,0.10684643558811481,0.5107287859421762,within_model_prompt_over_approved_taxonomy,b16204b149108076be18e087b7cc92e548161adfbb61cd421d47560f76dfe765,Within-model taxonomy normalization; raw logits are not comparable across tokenizers.
