model_id,canonical_id,fixture_data,backend,artifact_warning,sequence_total_rank,length_normalized_rank,rank_change,sequence_total_probability,length_normalized_probability
qwen1_5_0_5b_chat_2024,ai_literacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,3,3,0,0.7478332039465289,0.5233023483234976
qwen1_5_0_5b_chat_2024,attention_to_detail,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,4,4,0,0.6456900693567837,0.4615263080263325
qwen1_5_0_5b_chat_2024,complaint_handling,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,8,8,0,0.5325582821000625,0.3683738960658796
qwen1_5_0_5b_chat_2024,customer_service,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,11,11,0,0.37212162601713245,0.25604472843704856
qwen1_5_0_5b_chat_2024,data_privacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,1,1,0,0.8212217050516056,0.6034403571582717
qwen1_5_0_5b_chat_2024,guest_communication,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,5,5,0,0.6264212613019561,0.440051943794561
qwen1_5_0_5b_chat_2024,local_knowledge,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,10,10,0,0.4235791987893889,0.2867317089840992
qwen1_5_0_5b_chat_2024,multitasking,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,7,7,0,0.5511037656805836,0.36838673861312826
qwen1_5_0_5b_chat_2024,payment_processing,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,9,9,0,0.4750678367265882,0.3427740200642601
qwen1_5_0_5b_chat_2024,problem_solving,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,13,13,0,0.2893061635603143,0.19408284759454564
qwen1_5_0_5b_chat_2024,record_keeping,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,2,2,0,0.7751190231808768,0.5568296095523296
qwen1_5_0_5b_chat_2024,reservation_systems,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,6,6,0,0.5824230318953668,0.4129891854772123
qwen1_5_0_5b_chat_2024,teamwork,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,12,12,0,0.29117345230375685,0.19581833992616893
qwen1_5_0_5b_chat_2024,time_management,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,14,14,0,0.2410781750868822,0.16683872737879457
qwen3_5_0_8b_2026,ai_literacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,13,13,0,0.3509390399454814,0.23408158915967137
qwen3_5_0_8b_2026,attention_to_detail,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,3,3,0,0.6933873900167152,0.47768023938071086
qwen3_5_0_8b_2026,complaint_handling,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,8,8,0,0.40021969666184115,0.26181896610638294
qwen3_5_0_8b_2026,customer_service,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,5,5,0,0.6011564492967106,0.4198345324367582
qwen3_5_0_8b_2026,data_privacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,6,6,0,0.5021738411085664,0.3257406679904412
qwen3_5_0_8b_2026,guest_communication,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,1,1,0,0.804046255563153,0.5782759914866421
qwen3_5_0_8b_2026,local_knowledge,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,14,14,0,0.2360624185286648,0.16374718466870994
qwen3_5_0_8b_2026,multitasking,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,2,2,0,0.762053099369511,0.5387012445913963
qwen3_5_0_8b_2026,payment_processing,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,9,10,1,0.3902790003834536,0.25633832854592176
qwen3_5_0_8b_2026,problem_solving,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,12,9,-3,0.35331145392455854,0.2570170374922789
qwen3_5_0_8b_2026,record_keeping,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,10,12,2,0.37861734880596093,0.24693012005582116
qwen3_5_0_8b_2026,reservation_systems,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,4,4,0,0.6469497320422524,0.43814355438256286
qwen3_5_0_8b_2026,teamwork,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,7,7,0,0.4699825166363454,0.3179021420566481
qwen3_5_0_8b_2026,time_management,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,11,11,0,0.3703468817179718,0.2500712586937618
