canonical_id,label,occurrence_count,distinct_record_count,confidence,review_flags,model_counts_json
ai_literacy,AI literacy,6,6,0.91,model_specific_in_fixture|potentially_emergent_review,"{""qwen3_5_0_8b_2026"":6}"
attention_to_detail,Attention to detail,14,14,0.84,,"{""qwen1_5_0_5b_chat_2024"":7,""qwen3_5_0_8b_2026"":7}"
complaint_handling,Complaint handling,11,11,0.86,,"{""qwen1_5_0_5b_chat_2024"":6,""qwen3_5_0_8b_2026"":5}"
customer_service,Customer service,15,15,0.92,,"{""qwen1_5_0_5b_chat_2024"":9,""qwen3_5_0_8b_2026"":6}"
data_privacy,Data privacy,9,9,0.88,model_specific_in_fixture,"{""qwen3_5_0_8b_2026"":9}"
guest_communication,Guest communication,18,18,0.94,,"{""qwen1_5_0_5b_chat_2024"":9,""qwen3_5_0_8b_2026"":9}"
local_knowledge,Local knowledge,5,5,0.91,model_specific_in_fixture,"{""qwen1_5_0_5b_chat_2024"":5}"
multitasking,Multitasking,12,12,0.97,,"{""qwen1_5_0_5b_chat_2024"":6,""qwen3_5_0_8b_2026"":6}"
payment_processing,Payment processing,9,9,0.78,,"{""qwen1_5_0_5b_chat_2024"":6,""qwen3_5_0_8b_2026"":3}"
problem_solving,Problem solving,7,7,0.94,,"{""qwen1_5_0_5b_chat_2024"":3,""qwen3_5_0_8b_2026"":4}"
record_keeping,Record keeping,3,3,0.55,human_review_required|model_specific_in_fixture|unclustered,"{""qwen1_5_0_5b_chat_2024"":3}"
reservation_systems,Reservation systems,15,15,0.85,,"{""qwen1_5_0_5b_chat_2024"":6,""qwen3_5_0_8b_2026"":9}"
teamwork,Teamwork,15,15,0.91,,"{""qwen1_5_0_5b_chat_2024"":9,""qwen3_5_0_8b_2026"":6}"
time_management,Time management,5,5,0.82,,"{""qwen1_5_0_5b_chat_2024"":3,""qwen3_5_0_8b_2026"":2}"
