fixture_data,backend,artifact_warning,model_id,canonical_id,within_model_rank,bootstrap_rank_low,bootstrap_rank_high,effective_prompt_sample_size,uncertainty_warning,mean_model_relative_probability
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,accuracy,13,5,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.3411364858481718
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,ai_literacy,1,1,7,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.676461148131967
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,attention_to_detail,19,9,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.2620526252470912
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,cash_handling,6,2,17,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4985632774908648
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,complaint_handling,15,9,18,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.33224228833743474
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,conflict_resolution,2,1,7,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6742149052239704
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,customer_service,10,1,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4399762569740245
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,data_privacy,11,1,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.42070230958024596
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,guest_communication,17,8,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.3214746913703329
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,local_knowledge,12,4,18,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4079769868920153
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,multitasking,5,2,18,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.50450208140308
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,payment_processing,16,10,18,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.3292044848818056
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,pms_proficiency,3,1,17,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5833582260304488
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,prioritization,8,3,16,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4521120381099027
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,problem_solving,18,5,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.30064571991616384
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,record_keeping,7,2,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.46933880739147965
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,reservation_systems,4,1,15,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5362960039456516
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,teamwork,9,2,18,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4516242386790947
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,time_management,14,6,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.33896803542763654
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,accuracy,2,1,8,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.7625175940616434
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,ai_literacy,10,3,17,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5408145249810618
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,attention_to_detail,15,6,19,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.38404488250933383
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,cash_handling,6,2,16,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5824765322957067
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,complaint_handling,9,3,15,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5691886490799467
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,conflict_resolution,14,7,18,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4207272404661253
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,customer_service,3,3,8,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6402626681237864
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,data_privacy,8,2,16,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5730031730206243
