fixture_data,backend,artifact_warning,canonical_id,earlier_model_id,later_model_id,earlier_rank,later_rank,rank_change_later_minus_earlier,comparison_axis,interpretation_warning
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,ai_literacy,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,2,14,12,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,attention_to_detail,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,1,1,0,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,complaint_handling,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,12,5,-7,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,customer_service,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,6,8,2,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,data_privacy,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,4,9,5,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,guest_communication,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,5,11,6,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,local_knowledge,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,8,13,5,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,multitasking,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,13,12,-1,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,payment_processing,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,11,10,-1,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,problem_solving,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,14,4,-10,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,record_keeping,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,9,3,-6,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,reservation_systems,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,7,7,0,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,teamwork,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,10,6,-4,model_release_generation,Model-order rank change; not historical labour-market demand.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,time_management,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,3,2,-1,model_release_generation,Model-order rank change; not historical labour-market demand.
