fixture_data,backend,artifact_warning,model_id,canonical_id,prompt_range,n_prompt_measurements,uncertainty_warning
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,accuracy,0.38704917391945026,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,ai_literacy,0.3274464458745845,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,attention_to_detail,0.3102167270453279,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,cash_handling,0.48120646071343276,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,complaint_handling,0.17427596248006805,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,conflict_resolution,0.34025208234230286,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,customer_service,0.6596586680290939,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,data_privacy,0.6703510637431996,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,guest_communication,0.24348718808266398,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,local_knowledge,0.44625796610303636,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,multitasking,0.4868404350752816,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,payment_processing,0.09354372528022503,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,pms_proficiency,0.6030920458860347,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,prioritization,0.34632591333917706,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,problem_solving,0.509885877445924,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,record_keeping,0.33529469202976275,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,reservation_systems,0.5075458606723324,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,teamwork,0.5080325248250379,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,time_management,0.4266687372744762,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,accuracy,0.31855552645749796,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,ai_literacy,0.4771601825136548,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,attention_to_detail,0.40484397422620133,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,cash_handling,0.48358164427919403,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,complaint_handling,0.3738783929629438,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,conflict_resolution,0.34222110395295896,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,customer_service,0.08090397728932341,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,data_privacy,0.5510620918357354,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,guest_communication,0.023897942913169268,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,local_knowledge,0.5920851077905287,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,multitasking,0.5923008929281555,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,payment_processing,0.6801067393250272,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,pms_proficiency,0.2081703146393081,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,prioritization,0.7303941948296031,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,problem_solving,0.4188108861932274,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,record_keeping,0.4560635114693781,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,reservation_systems,0.19440410537973435,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,teamwork,0.3998283842935508,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,llama3_8b_instruct_2023,time_management,0.5338572027223025,3,Resamples the fixed prompt variants only; not a population confidence interval.
