fixture_data,backend,artifact_warning,model_id,canonical_id,n,mean_model_relative_probability,ci_low,ci_high,prompt_range,uncertainty_type,uncertainty_warning,effective_prompt_sample_size,measurement_record_ids_json,prompt_means_json,metric_warning,within_model_rank,bootstrap_rank_low,bootstrap_rank_high,probability_same_rank_as_point_estimate
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,ai_literacy,3,0.9354662738336909,0.8840392817460332,0.9697854129326061,0.08574613118657293,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""8006cf6f3678809ed932618351d8ccf168f8b654aaf8ef77b655f2e24fada851"",""9029f542b4f91be8d8c67249a61ef49200adf21c36392f36cdb904b796164305"",""a0d3f3ea20b7f245867ab378b87229fd28f51fb9c9d8a7606ee73eed76e7f37d""]","{""hiring"":0.9697854129326061,""important"":0.9525741268224334,""required"":0.8840392817460332}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,2,1,9,0.2575
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,attention_to_detail,3,0.9671705621243617,0.9399133498259924,0.9867771782476948,0.04686382842170245,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""641f145a185cef9151b8a14b0106601d6e95a2542c714fa5a664cf63910de892"",""647b3fcd287e468e3adcad04362df6901062c1ba20f4ffe84676f8b16d446f5a"",""80e3e618ced592701ee6eaf1a1ad86b72ce65b851265ef61bc27220325c5b12f""]","{""hiring"":0.9867771782476948,""important"":0.9748211582993981,""required"":0.9399133498259924}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,1,1,3,0.809
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,complaint_handling,3,0.8249427509362569,0.7248702761768248,0.8902942261220291,0.16542394994520437,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""2f563e92d2e50ebdf2f4a5b035012df0446a9d0b75ca53799cdb10d47e43423c"",""e56f934ab8d8eb24cc20086728052694ec932cc959140252fae5315ba8e43e65"",""f1c8f92a0badeafa191edc4c512d319e59b6283390c5dbb5805fc5f12f4216cf""]","{""hiring"":0.8596637505099167,""important"":0.8902942261220291,""required"":0.7248702761768248}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,12,8,14,0.215
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,customer_service,3,0.9166768243800384,0.8397339676722394,0.9591542840900505,0.11942031641781137,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""39e4b9e49f81f4f766f3008bf151123cabb668abb5d9a3dfa2720ebab875df0b"",""3c5ed2cf685e8a40b082689fdead145bd8d2ea803ce6c60bee7a1add5162be31"",""9360822071ca93c2c94a1aa717cb83aca204d80758192516ec1d862de85c65d8""]","{""hiring"":0.9511422213778251,""important"":0.9591542840900507,""required"":0.8397339676722393}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,6,1,11,0.132
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,data_privacy,3,0.9210519924508365,0.8519528019683106,0.9615338079816756,0.10958100601336507,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""5b7d539a9c5925e56ff3b064dd564687181cb9468c11eacc173b80c6f6dce4bb"",""a166fa8cf373699d5859398f546b4d7235a3de99db5bc6a0278c6239c8adb382"",""d753cb85b44ef2f4077ff1b27dc93720ff530e668436514e748511ae9b0c175b""]","{""hiring"":0.9615338079816756,""important"":0.9496693674025232,""required"":0.8519528019683106}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,4,1,11,0.099
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,guest_communication,3,0.9197711038294134,0.8633916099737805,0.9525741268224334,0.08918251684865275,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""2d31ba4d0d89b82ff8552011f502858dc10a63b39df9260b83b2df5bb3cb1590"",""f7ec5b6b899e21655f1b1389108bdfb70422ea021da49376796fadcb817c18f2"",""fc64a5be3c25e7579ca0c466f4b623c4ba05fc262a4e956c152441d314b4254e""]","{""hiring"":0.9525741268224334,""important"":0.9433475746920261,""required"":0.8633916099737806}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,5,2,10,0.136
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,local_knowledge,3,0.9014072839039474,0.8354835371034369,0.9362850057480346,0.10080146864459771,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""0438504727eea4cf2de594b8e340d3fc4c8f4e962a19a95924984925e3ccfc6e"",""2fd4b6fa726947aca6a2f7256fe9807e9eed1d57eb9efb84c716bca9d5464eff"",""fedfa021f835ca47f0da4b0f3f6db3245b7cae046ba97b9d5aa4041a732a25d7""]","{""hiring"":0.9324533088603709,""important"":0.9362850057480346,""required"":0.8354835371034369}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,8,3,12,0.149
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,multitasking,3,0.816193127561028,0.7549149868676283,0.8807970779778823,0.12588209111025406,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""0f58d05f575750e96ec051e828a6f2fccb0b2afd1fde9cdd90714216b4d2598f"",""4639ec0566238682fd29d26427101c28896c4cbe6e83e44b6a1c54a3446f0f1c"",""f4e0f23a94afbc2874081e4851d99ab06b37521c642c4a913c0f364c537aa1d8""]","{""hiring"":0.8128673178375735,""important"":0.8807970779778823,""required"":0.7549149868676283}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,13,10,14,0.344
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,payment_processing,3,0.8498181007006455,0.7662936430859597,0.8991213772699437,0.13282773418398386,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""646c9469e8b3973fe77ba17a35477b02dd328d48fadb7804d1b902eebf254f7b"",""8e003eaec046708c322729eb3a0d55b3f475454b860aad09314460f975ff7d11"",""901182b1e2bee1c36250cecccc03161589f25f40fe1efe5ab7175e20dd262da7""]","{""hiring"":0.8991213772699436,""important"":0.8840392817460332,""required"":0.7662936430859597}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,11,7,14,0.247
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,problem_solving,3,0.8144439601701988,0.712232184238947,0.8872045937171068,0.17497240947815984,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""8cbad33e08b73b335e81a8ac36a8889ae172fa0ff5b740fdedbfa0d49189e5e3"",""8f6a751e1dedf52095da1296ea998e7542c7d23d90ea9453bf0cbbe6cc8e2363"",""ed3312abfd301ab8674728d8ef5f78f5bc5a757514e0c07d568527bf930f6622""]","{""hiring"":0.8872045937171068,""important"":0.8438951025545426,""required"":0.712232184238947}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,14,9,14,0.373
