model_id,canonical_id,fixture_data,backend,artifact_warning,sequence_total_rank,length_normalized_rank,rank_change,sequence_total_probability,length_normalized_probability
qwen1_5_0_5b_chat_2024,ai_literacy,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,2,2,0,0.9354662738336909,0.9354662738336909
qwen1_5_0_5b_chat_2024,attention_to_detail,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,1,1,0,0.9671705621243617,0.9671705621243617
qwen1_5_0_5b_chat_2024,complaint_handling,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,12,12,0,0.8249427509362569,0.8249427509362569
qwen1_5_0_5b_chat_2024,customer_service,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,6,6,0,0.9166768243800384,0.9166768243800384
qwen1_5_0_5b_chat_2024,data_privacy,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,4,4,0,0.9210519924508365,0.9210519924508365
qwen1_5_0_5b_chat_2024,guest_communication,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,5,5,0,0.9197711038294134,0.9197711038294134
qwen1_5_0_5b_chat_2024,local_knowledge,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,8,8,0,0.9014072839039474,0.9014072839039474
qwen1_5_0_5b_chat_2024,multitasking,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,13,13,0,0.816193127561028,0.816193127561028
qwen1_5_0_5b_chat_2024,payment_processing,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,11,11,0,0.8498181007006455,0.8498181007006455
qwen1_5_0_5b_chat_2024,problem_solving,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,14,14,0,0.8144439601701988,0.8144439601701988
qwen1_5_0_5b_chat_2024,record_keeping,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,9,9,0,0.8969223212918074,0.8969223212918074
qwen1_5_0_5b_chat_2024,reservation_systems,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,7,7,0,0.9066481414945974,0.9066481414945974
qwen1_5_0_5b_chat_2024,teamwork,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,10,10,0,0.8921880914124568,0.8921880914124568
qwen1_5_0_5b_chat_2024,time_management,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,3,3,0,0.9271752460501785,0.9271752460501785
qwen3_5_0_8b_2026,ai_literacy,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,14,14,0,0.9002888277881193,0.9002888277881193
qwen3_5_0_8b_2026,attention_to_detail,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,1,1,0,0.9808524666481203,0.9808524666481203
qwen3_5_0_8b_2026,complaint_handling,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,5,5,0,0.963511107300482,0.963511107300482
qwen3_5_0_8b_2026,customer_service,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,8,8,0,0.9532829456824864,0.9532829456824864
qwen3_5_0_8b_2026,data_privacy,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,9,9,0,0.9512380953898916,0.9512380953898916
qwen3_5_0_8b_2026,guest_communication,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,11,11,0,0.9458928611371645,0.9458928611371645
qwen3_5_0_8b_2026,local_knowledge,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,13,13,0,0.9127199536446318,0.9127199536446318
qwen3_5_0_8b_2026,multitasking,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,12,12,0,0.9209840955754068,0.9209840955754068
qwen3_5_0_8b_2026,payment_processing,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,10,10,0,0.9483006156519552,0.9483006156519552
qwen3_5_0_8b_2026,problem_solving,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,4,4,0,0.968540890474333,0.968540890474333
qwen3_5_0_8b_2026,record_keeping,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,3,3,0,0.9706528854956917,0.9706528854956917
qwen3_5_0_8b_2026,reservation_systems,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,7,7,0,0.9539479698928265,0.9539479698928265
qwen3_5_0_8b_2026,teamwork,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,6,6,0,0.9611658035417049,0.9611658035417049
qwen3_5_0_8b_2026,time_management,False,transformers,Model-relative elicitation; not a direct labour-market measurement.,2,2,0,0.9731711872157209,0.9731711872157209
