model_id,canonical_id,fixture_data,backend,artifact_warning,sequence_total_rank,length_normalized_rank,rank_change,sequence_total_probability,length_normalized_probability
gpt2_2017,accuracy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,13,13,0,0.3411364858481718,0.22914407074531673
gpt2_2017,ai_literacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,1,1,0,0.676461148131967,0.46607831718772913
gpt2_2017,attention_to_detail,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,19,19,0,0.2620526252470912,0.17950594416091806
gpt2_2017,cash_handling,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,6,6,0,0.4985632774908648,0.33305262468150104
gpt2_2017,complaint_handling,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,15,15,0,0.33224228833743474,0.21951247456055203
gpt2_2017,conflict_resolution,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,2,2,0,0.6742149052239704,0.46547235747303534
gpt2_2017,customer_service,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,10,7,-3,0.4399762569740245,0.3256170818266762
gpt2_2017,data_privacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,11,9,-2,0.42070230958024596,0.3046682400017708
gpt2_2017,guest_communication,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,17,17,0,0.3214746913703329,0.2135278782780822
gpt2_2017,local_knowledge,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,12,12,0,0.4079769868920153,0.27156917032356087
gpt2_2017,multitasking,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,5,5,0,0.50450208140308,0.339039496810799
gpt2_2017,payment_processing,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,16,16,0,0.3292044848818056,0.21706507226667096
gpt2_2017,pms_proficiency,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,3,3,0,0.5833582260304488,0.4111100835909321
gpt2_2017,prioritization,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,8,11,3,0.4521120381099027,0.2971614339615738
gpt2_2017,problem_solving,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,18,18,0,0.30064571991616384,0.20828656343245677
gpt2_2017,record_keeping,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,7,8,1,0.46933880739147965,0.31001716845264676
gpt2_2017,reservation_systems,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,4,4,0,0.5362960039456516,0.3702538306150886
gpt2_2017,teamwork,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,9,10,1,0.4516242386790947,0.3016295417322948
gpt2_2017,time_management,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,14,14,0,0.33896803542763654,0.22613677069321492
llama3_8b_instruct_2023,accuracy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,2,2,0,0.7625175940616434,0.556805369906225
llama3_8b_instruct_2023,ai_literacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,10,10,0,0.5408145249810618,0.36425628737803445
llama3_8b_instruct_2023,attention_to_detail,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,15,17,2,0.38404488250933383,0.25665622669605154
llama3_8b_instruct_2023,cash_handling,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,6,8,2,0.5824765322957067,0.399243393051859
llama3_8b_instruct_2023,complaint_handling,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,9,9,0,0.5691886490799467,0.3795129966096413
llama3_8b_instruct_2023,conflict_resolution,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,14,15,1,0.4207272404661253,0.27758808982572264
llama3_8b_instruct_2023,customer_service,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,3,4,1,0.6402626681237864,0.4221919427156143
llama3_8b_instruct_2023,data_privacy,True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,8,7,-1,0.5730031730206243,0.4005306031381029
