model_id,canonical_id,sequence_prompt_range,length_probability_prompt_range,interpretation_warning
qwen1_5_0_5b_chat_2024,ai_literacy,4.78548223527004e-07,0.00016581143632264273,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,attention_to_detail,0.09970299570672413,0.038462009326305835,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,complaint_handling,0.007036950749995576,0.01082121932866698,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,customer_service,0.097480192529941,0.12442122240309997,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,data_privacy,1.0516261825843983e-07,2.9308205066350834e-05,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,guest_communication,0.0014202038063938227,0.004237276219394998,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,local_knowledge,0.0015517773645107515,0.0037549023074204668,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,multitasking,0.01400854249688302,0.14664088091345276,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,payment_processing,0.017334716075250223,0.005414538713513713,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,problem_solving,0.006582641699575984,0.009114545602204949,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,record_keeping,0.003081312663583529,0.006402995687180665,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,reservation_systems,8.244432086900182e-06,0.00023700496299475213,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,teamwork,0.0311194601379321,0.01655457066900086,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen1_5_0_5b_chat_2024,time_management,0.02154195311149891,0.033069224790895635,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,ai_literacy,1.7423589486396392e-06,0.00015974600380905358,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,attention_to_detail,0.3832053589558973,0.18043232217057398,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,complaint_handling,0.010809774993691085,0.013689764098494515,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,customer_service,0.3107911890046363,0.02502099443564687,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,data_privacy,1.523102542107078e-05,0.0003639712939753887,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,guest_communication,0.18757795157892768,0.062358054771769235,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,local_knowledge,0.001033496009537693,0.0030857544816659957,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,multitasking,0.006676019409907605,0.07984889522106159,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,payment_processing,0.0008709842715498902,0.002626271276648947,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,problem_solving,0.001123575263475468,0.003591452236862742,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,record_keeping,0.0011309482195982323,0.005249146498153582,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,reservation_systems,8.098415596323568e-05,0.0008465529401044433,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,teamwork,0.004859159586242091,0.00417846108777916,Model-relative phrase completion over fixed taxonomy; not labour-market change.
qwen3_5_0_8b_2026,time_management,0.010895306886531774,0.007343182120069812,Model-relative phrase completion over fixed taxonomy; not labour-market change.
