model_id,canonical_id,fixture_data,backend,artifact_warning,successful_discovery_records,records_mentioning_skill,fixture_prevalence,ci_low,ci_high,uncertainty_type,uncertainty_warning,source_record_ids_json,fixture_warning
qwen1_5_0_5b_chat_2024,ai_literacy,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,0,0.0,0.0,0.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,attention_to_detail,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,7,0.7777777777777778,0.5555555555555556,1.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,complaint_handling,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,6,0.6666666666666666,0.3333333333333333,0.8888888888888888,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,customer_service,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,9,1.0,1.0,1.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,data_privacy,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,0,0.0,0.0,0.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,guest_communication,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,9,1.0,1.0,1.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,local_knowledge,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,5,0.5555555555555556,0.2222222222222222,0.8888888888888888,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,multitasking,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,6,0.6666666666666666,0.3333333333333333,1.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,payment_processing,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,6,0.6666666666666666,0.3333333333333333,1.0,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,problem_solving,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,3,0.3333333333333333,0.1111111111111111,0.6666666666666666,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,record_keeping,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,3,0.3333333333333333,0.1111111111111111,0.6666666666666666,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
qwen1_5_0_5b_chat_2024,reservation_systems,True,fixture,SYNTHETIC FIXTURE: not empirical.,9,6,0.6666666666666666,0.3333333333333333,0.8888888888888888,descriptive_discovery_record_resampling_interval,Resamples the fixed prompt-by-seed discovery records; not a population confidence interval.,"[""0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627"",""21f8cfbecfc1896d9c771750618ee831522a1d11d641c3b95dbabdf35f65bfef"",""30ab9e856eb3198da52ec7c3d970ff26370d98ff7c90f05030d3b4173b3ca514"",""4b0cebe1bfd1ccd0d4a52b2c2c2e683bc22f0a44c64f5e172d365531e6a7ac39"",""6163ab8f09c6a29087c5890c59c332885f9dbdccb7228749a805795d9dd7d11e"",""6e92e1d8e32f68309acb4091b3b5a4ae1ddd80e81c6eb2a8ae8cd6b34e271870"",""967304ee5e87e9835bedd85ed582450b6132ceba0d71275aed71bee3c6489884"",""b7474be2cbdd4170ad92735e005667546fb87008291b03ea34591dfc0d1f02de"",""f10a7d7d8e141c88e7a1ff1e72ab6e50e7227aae0de88d759c43ae5442898f02""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
