fixture_data,backend,artifact_warning,model_id,canonical_id,within_model_rank,bootstrap_rank_low,bootstrap_rank_high,effective_prompt_sample_size,uncertainty_warning,mean_model_relative_probability
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,ai_literacy,2,1,9,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9354662738336909
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,attention_to_detail,1,1,3,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9671705621243617
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,complaint_handling,12,8,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.8249427509362569
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,customer_service,6,1,11,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9166768243800384
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,data_privacy,4,1,11,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9210519924508365
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,guest_communication,5,2,10,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9197711038294134
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,local_knowledge,8,3,12,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9014072839039474
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,multitasking,13,10,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.816193127561028
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,payment_processing,11,7,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.8498181007006455
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,problem_solving,14,9,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.8144439601701988
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,record_keeping,9,3,12,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.8969223212918074
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,reservation_systems,7,2,11,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9066481414945974
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,teamwork,10,3,12,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.8921880914124568
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,time_management,3,2,9,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9271752460501785
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,ai_literacy,14,6,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9002888277881193
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,attention_to_detail,1,1,2,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9808524666481203
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,complaint_handling,5,2,10,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.963511107300482
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,customer_service,8,1,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9532829456824864
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,data_privacy,9,5,12,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9512380953898916
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,guest_communication,11,6,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9458928611371645
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,local_knowledge,13,6,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9127199536446318
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,multitasking,12,11,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9209840955754068
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,payment_processing,10,8,12,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9483006156519552
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,problem_solving,4,2,7,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.968540890474333
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,record_keeping,3,2,5,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9706528854956917
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,reservation_systems,7,6,11,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9539479698928265
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,teamwork,6,4,9,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9611658035417049
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,time_management,2,2,5,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.9731711872157209
