fixture_data,backend,artifact_warning,model_id,canonical_id,n,mean_model_relative_probability,ci_low,ci_high,prompt_range,uncertainty_type,uncertainty_warning,effective_prompt_sample_size,measurement_record_ids_json,prompt_means_json,metric_warning,within_model_rank,bootstrap_rank_low,bootstrap_rank_high,probability_same_rank_as_point_estimate
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,accuracy,3,0.3411364858481718,0.19779475571025282,0.5848439296297031,0.38704917391945026,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""0c48507aa7b415c2428ca3a94a7ba5c9f411a4bc71f494e56897bb61de2e8ab6"",""2c0c5ab7deb6774a158113f2cea4167c3931f0b365a6ff4eb20d1879fdcca59a"",""c858ae30f2ff428cfb0ee16de4870f6ba43e26f6d9737b66240374b0337e4806""]","{""hiring"":0.2407707722045594,""important"":0.19779475571025282,""required"":0.5848439296297031}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,13,5,19,0.109
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,ai_literacy,3,0.676461148131967,0.4920038469607399,0.8194502928353243,0.3274464458745845,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""036a2aef522d49c3be231669c8f21358660013e2fd9101ee22e19252bf96df06"",""37dbf16ccded4750f35f9c6b47c8378c3ec1d661dcbd30ea698d42b5aff87f86"",""d71c6e572dfe7672d668dda77fb42e86a222368d6c9264f29932088537c03720""]","{""hiring"":0.8194502928353243,""important"":0.49200384696073984,""required"":0.7179293045998368}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,1,1,7,0.3305
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,attention_to_detail,3,0.2620526252470912,0.15045871050875972,0.4606754375540876,0.3102167270453279,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""3a8252bd083aa7229d1b0e01947c4adbe83daee1ed6dd2664f62671abe291b70"",""a50be5bef165d2a86d3b4765fd1bddb13cc676d214f90cc4865234fb0f74bf9e"",""df4c1cd72a327f45d39de70f3bf74f7a80d305ee685ed5d37b11754ff581ed39""]","{""hiring"":0.4606754375540876,""important"":0.15045871050875972,""required"":0.1750237276784263}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,19,9,19,0.252
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,cash_handling,3,0.4985632774908648,0.22776585292361873,0.7089723136370515,0.48120646071343276,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""4d93261f6bd880a560aef7cc2b5381ff1fac71690f8e416390ed860a91261c3c"",""5fdac841994629bf3a2dbca3a19f1bdea59b1af7e8bd7a5bcb5285e210f89e65"",""b1ebfac7590341e6c3fb9f50209765b08f90008f258655615e2f3a86276e5507""]","{""hiring"":0.22776585292361873,""important"":0.5589516659119242,""required"":0.7089723136370515}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,6,2,17,0.124
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,complaint_handling,3,0.33224228833743474,0.27001564983698817,0.4442916123170562,0.17427596248006805,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""a2628ce88556218830fb73525913a4f02a81d47c2313deef09f873649adb4e9c"",""acde17340acc71d7223011bd3c18f7e932993615dabdc10b3292b1f7c8d5db69"",""ca42680b972f99e1ad99855cbd13fb511374e4e1fc9fdb79a8759bf753da0560""]","{""hiring"":0.2824196028582598,""important"":0.27001564983698817,""required"":0.4442916123170562}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,15,9,18,0.158
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,conflict_resolution,3,0.6742149052239704,0.4695450563757124,0.8097971387180153,0.34025208234230286,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""51d662bb50132f73f015bdaccee7877eea047ebcaf5202ca882cfc87977e5ed4"",""5fa22fcac53ecfe4b1a9a6ad8442e126058150a53c95000413a8f69c8cf52ba0"",""fad8378f8ff1f12d58db4b017ca05588eedab7abca9ef0525610fbd483cc737d""]","{""hiring"":0.4695450563757124,""important"":0.8097971387180153,""required"":0.7433025205781835}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,2,1,7,0.268
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,customer_service,3,0.4399762569740245,0.20957580041284798,0.8692344684419419,0.6596586680290939,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""320c3455c62388b504967e04b16d68e1ae2a7d8849c3df9a4a42a55ee48ed4cd"",""403bbea7acf94681f2bd0ed2dc2a5cf7bec89b2c877b3127a61577ecd9f6c7fa"",""a09788b84c329e829a5d7fcb6da19bdff8a646f6288a37218558b4ef75de203c""]","{""hiring"":0.2411185020672837,""important"":0.8692344684419419,""required"":0.20957580041284798}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,10,1,19,0.0975
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,data_privacy,3,0.42070230958024596,0.16219813936483363,0.8325492031080333,0.6703510637431996,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""0416b6fbd624c26fd3a9c470d31512f624444b2fcfcb6f30f34d7379781bca62"",""132b83c1f0ddf359c4f48edb6a1ebbc573d70f4c15a4c03a20aa840562824c8c"",""3108b97b126878f92f922581c50761d863696bb55c5ff5855d41930bc9731b3b""]","{""hiring"":0.2673595862678709,""important"":0.16219813936483363,""required"":0.8325492031080333}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,11,1,19,0.086
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,guest_communication,3,0.3214746913703329,0.20907144797809427,0.45255863606075825,0.24348718808266398,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""2a639365e82dd817fe29d479a76784ca985be668e4d5045269674115c5465457"",""354c1a344a7655500d645e39a9e41ff19308abf864c3170638e4f70a4dfbf9f8"",""477fd8c1d573eb6d4d713f2cefab6c539fbe125db295735b9474677314c055a7""]","{""hiring"":0.30279399007214625,""important"":0.20907144797809427,""required"":0.45255863606075825}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,17,8,19,0.136
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,local_knowledge,3,0.4079769868920153,0.20200180475907223,0.6482597708621086,0.44625796610303636,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""9c2296a3c281a2299bd32227e459e9b1257d6f9f7fdb09c82aacfd629a3810f4"",""b892e12d0d9e27a215eef91629194414b55bf864c3541127df59913111723c13"",""c56a73a6f49d3dee52b87f6732ae4af5d6cf074d58ffc492610b6330af3bab65""]","{""hiring"":0.6482597708621086,""important"":0.20200180475907223,""required"":0.37366938505486486}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,12,4,18,0.0755
