fixture_data,backend,artifact_warning,model_id,canonical_id,prompt_range,n_prompt_measurements,uncertainty_warning
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,ai_literacy,0.08574613118657293,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,attention_to_detail,0.04686382842170245,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,complaint_handling,0.16542394994520437,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,customer_service,0.11942031641781137,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,data_privacy,0.10958100601336507,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,guest_communication,0.08918251684865275,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,local_knowledge,0.10080146864459771,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,multitasking,0.12588209111025406,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,payment_processing,0.13282773418398386,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,problem_solving,0.17497240947815984,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,record_keeping,0.11320155575531898,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,reservation_systems,0.09775905683377639,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,teamwork,0.11026417833842062,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen1_5_0_5b_chat_2024,time_management,0.07177704884455105,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,ai_literacy,0.1724299652561353,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,attention_to_detail,0.002346143380567267,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,complaint_handling,0.03042595988979868,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,customer_service,0.08919136473436207,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,data_privacy,0.028570147851172067,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,guest_communication,0.03426431210042302,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,local_knowledge,0.14509863646222698,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,multitasking,0.013507845562467868,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,payment_processing,0.015405779901357386,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,problem_solving,0.019110358005593242,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,record_keeping,0.0035585483079882962,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,reservation_systems,0.01607644245569495,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,teamwork,0.017244654208772636,3,Resamples the fixed prompt variants only; not a population confidence interval.
False,transformers,Model-relative elicitation; not a direct labour-market measurement.,qwen3_5_0_8b_2026,time_management,0.01010860847867856,3,Resamples the fixed prompt variants only; not a population confidence interval.
