model_id,canonical_id,skill_label,n_prompts,token_count,mean_sequence_log_probability,mean_token_log_probability,mean_within_model_sequence_probability,sequence_probability_ci_low,sequence_probability_ci_high,sequence_prompt_range,mean_within_model_length_normalized_probability,length_probability_ci_low,length_probability_ci_high,length_probability_prompt_range,record_ids_json,uncertainty_type,interpretation_warning,within_model_sequence_rank,within_model_length_normalized_rank
qwen1_5_0_5b_chat_2024,ai_literacy,AI literacy,3,2,-27.73893864949544,-13.86946932474772,1.7253208526294313e-07,9.456008051315497e-09,4.880042315783195e-07,4.78548223527004e-07,7.313011537429386e-05,1.7042218784869745e-05,0.00018285365510751247,0.00016581143632264273,"[""489979f05a190f25321749162b708295087857ce71db2710ff5f316cf8187541"",""05dd41b01e5a47b0f3796c63fc537a4fe8bbebca65eb7b1e60626156bd1c17d2"",""8f65d56e3f8e7b1fa718babdd7d7fc48625031a6fe50830e4be41d5d344e61af""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,13,13
qwen1_5_0_5b_chat_2024,attention_to_detail,Attention to detail,3,3,-13.053999265034994,-4.351333088344997,0.11531310351201536,0.0696949396206036,0.16939793532732772,0.09970299570672413,0.5350791860428196,0.5107287859421762,0.549190795268482,0.038462009326305835,"[""32d3087d59eb78f3fe37c53c36fdbdb6c1ca2635c1c2aaacf8e1e8c667138ce1"",""0ea17d849cb34fe9be664f421af89b00319222d19ab6a2a58bf7c725f857dfba"",""b16204b149108076be18e087b7cc92e548161adfbb61cd421d47560f76dfe765""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,2,1
qwen1_5_0_5b_chat_2024,complaint_handling,Complaint handling,3,2,-19.796164512634277,-9.898082256317139,0.0023626592974853497,1.6729955410984958e-05,0.007053680705406562,0.007036950749995576,0.0044506612874579245,0.0007168356760013452,0.011538055004668327,0.01082121932866698,"[""067641f9ab82d1cb83aec981ea10e30ebb4fa0ef54c87b653f33ee531d6d104a"",""ece9ce161d5fe6844ebe3e3ba8e7b478b95f4439fdd951809285e64759d941b2"",""2201139c347aab298d2a7acff8e3301df0f8bb89d47d7de51243e6568074f8d2""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,8,8
qwen1_5_0_5b_chat_2024,customer_service,Customer service,3,2,-11.02682113647461,-5.513410568237305,0.8216295630618591,0.789026881361878,0.8865070738918192,0.097480192529941,0.17473017871173535,0.12203112255044901,0.24645234495354898,0.12442122240309997,"[""356915dd0e9a69ac2f89a32fcad5f4108b4fe2a5e09ac8b7e30fbf9327dcb358"",""8260575c07f6eec07d4319024e159605e68980f25db2dec87fabffaba3833cd7"",""d0a22fe2b9a424b3bf5062c11dddd6fb3976f93b51195a19f37437f7ae72bf2f""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,1,3
qwen1_5_0_5b_chat_2024,data_privacy,Data privacy,3,2,-28.205063501993816,-14.102531750996908,4.838854057637793e-08,9.687232582361251e-09,1.1484985084080109e-07,1.0516261825843983e-07,3.380050209452308e-05,1.72493241361339e-05,4.655752920248473e-05,2.9308205066350834e-05,"[""d3a544f88e991035709bfdccf188e02ab9da86d1f44ca38b0abbc99a356f6ba8"",""b3c52fba9864aebf58c9ccd4c72946251a1103c29a384324adb1beceb4c19a8a"",""989125cb77f924c56c05b7b31f156cbcb029eca2779b9bca9f9f10e9d78e2c83""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,14,14
qwen1_5_0_5b_chat_2024,guest_communication,Guest communication,3,2,-19.48355007171631,-9.741775035858154,0.0005324643517926474,3.248352724566212e-05,0.0014526873336394846,0.0014202038063938227,0.0030026244925965635,0.0009988581336134363,0.005236134353008434,0.004237276219394998,"[""9258e199008d8b19a656cd101a73257b47321c2825389ac1219c5ccda3099040"",""94f050bf321525dada061a2b39096907e36104dfad253f0aa5849e61208d742c"",""d81aec3d38bbb3a8318681136978e2f0ee060a101d1434f3b46005caa4d6937e""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,11,11
qwen1_5_0_5b_chat_2024,local_knowledge,Local knowledge,3,2,-18.744935353597004,-9.372467676798502,0.000678934962188872,0.00011109752285150672,0.0016628748873622583,0.0015517773645107515,0.0038976538247723048,0.0018472446078575332,0.005602146915277999,0.0037549023074204668,"[""061176fddcf8f45beab48a45a4ef3e7e25fe7009200d35f97df123c95dd0a792"",""1d30f24ae25b8c1b04bca34ec9c88bf8d8a98dca33626d5114c7162d52ffa6ab"",""89f61bb92993cab9a912b60e8d6d900342dd04615ac9040e16124c2940af472c""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,10,9
qwen1_5_0_5b_chat_2024,multitasking,Multitasking,3,3,-16.091395378112793,-5.363798459370931,0.0097134670774749,0.0006883430406168355,0.014696885537499855,0.01400854249688302,0.20615229865128984,0.11699959940185185,0.2636404803153046,0.14664088091345276,"[""086b781fe2a501e568ae11b40857888e0912aa6a1beedd8754b9b2745d046b56"",""7278d044437149485089e956861e3ed00133ed8280ee7e176378db244390fde9"",""f6e582e9b811e79399fa233b54843ec6d20afd7e01faf5a73d00207df1817647""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,6,2
qwen1_5_0_5b_chat_2024,payment_processing,Payment processing,3,2,-15.37662124633789,-7.688310623168945,0.012634087723924508,0.006274147784917428,0.02360886386016765,0.017334716075250223,0.019178757755977934,0.015694198363667654,0.02110873707718137,0.005414538713513713,"[""ebae22f0bbce7b75b13d63cf6ceeccdb3baee96a41f8907d5d57cdb2f50f86bc"",""f2b85a0787a947603da4be8a2477bb9c04617238c1069d89556b4963d1bc9879"",""b5e81c2a769ea16584338deb2174357b088cf3d017815b218e7f2bde5ef8f26c""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,4,5
qwen1_5_0_5b_chat_2024,problem_solving,Problem solving,3,2,-18.316869735717773,-9.158434867858887,0.0023751212283456605,6.346186211861296e-05,0.0066461035616945975,0.006582641699575984,0.005619537819737571,0.0020852025993222285,0.011199748201527178,0.009114545602204949,"[""bff982124dcc5064c5bea9e083be562987494b8f1bd5335a6073c6216148d95e"",""3ad6bb9635aefcfd4b576e3765641d8ba661c23cb4025bc7952612a4e8d63d90"",""3155a49c93349f88fd3ad4be44f14aaaab8f17a927b9b7fbddcb1ed7e4c33749""]",descriptive_prompt_resampling_interval,Model-relative phrase completion over fixed taxonomy; not labour-market change.,7,7
