model_id,canonical_id,successful_discovery_records,records_mentioning_skill,fixture_prevalence,ci_low,ci_high,source_record_ids_json,fixture_warning
gpt2_2017,ai_literacy,9,0,0.0,0.0,0.0,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,attention_to_detail,9,7,0.7777777777777778,0.5555555555555556,1.0,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,complaint_handling,9,6,0.6666666666666666,0.3333333333333333,0.8888888888888888,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,customer_service,9,9,1.0,1.0,1.0,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,data_privacy,9,0,0.0,0.0,0.0,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,guest_communication,9,9,1.0,1.0,1.0,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,local_knowledge,9,5,0.5555555555555556,0.2222222222222222,0.8888888888888888,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,multitasking,9,6,0.6666666666666666,0.3333333333333333,0.8888888888888888,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,payment_processing,9,6,0.6666666666666666,0.3333333333333333,1.0,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
gpt2_2017,problem_solving,9,3,0.3333333333333333,0.0,0.6666666666666666,"[""194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778"",""2298a4e1b0325fa6368385cadd02f9f50c2da5da5c5bcdcf902a882b0333f866"",""47a44272b3c5f2dc357ff0f1f51091d8f1d75b4d1426c033825a9996eca43bc8"",""5765cd6c6341bd0cb163a02fa4e1ba5754bc1039596534365b5b80d5bd40bc0e"",""712584feccbf86ed2b6a734625c5a01f8b880a55eef6eaa2947854f75284faf3"",""be57dcd97e4ac13725cfe7793efd86e26ab84c8c1d2a63481ce1e05dce690457"",""d0443dc184b4a7526e6fbe83e44de971227bc376c45f1f6f87c21526a14e721e"",""d7c7e07067c522368ad68795a67d0d33a0807f530d5d63f92fa3996f34726fdb"",""edb987508044db59b38c5b8330481f54060995d76f7316dff30aa62e74c94b9c""]",Synthetic fixture prevalence; not an empirical model or labour-market finding.
