fixture_data,backend,artifact_warning,model_id,canonical_id,prompt_range,n_prompt_measurements,uncertainty_warning
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,ai_literacy,0.17497538336190843,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,attention_to_detail,0.5361367104896204,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,complaint_handling,0.603500409024849,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,customer_service,0.5394772127682383,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,data_privacy,0.1283486651771557,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,guest_communication,0.5159673915657534,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,local_knowledge,0.46449201270082713,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,multitasking,0.3768633611164709,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,payment_processing,0.6850228617440997,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,problem_solving,0.0879691478024675,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,record_keeping,0.20540921913817745,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,reservation_systems,0.630554931256454,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,teamwork,0.32560933117104107,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,time_management,0.3213335302359132,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,ai_literacy,0.4107196694283529,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,attention_to_detail,0.28074779252878823,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,complaint_handling,0.3223519484795231,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,customer_service,0.5256233737749453,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,data_privacy,0.21231494557042607,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,guest_communication,0.06836164140535483,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,local_knowledge,0.2584894509146479,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,multitasking,0.17223275311877473,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,payment_processing,0.34021129806575245,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,problem_solving,0.6583525497056577,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,record_keeping,0.1697590694398627,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,reservation_systems,0.30834991001694706,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,teamwork,0.5499928018228466,3,Resamples the fixed prompt variants only; not a population confidence interval.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,time_management,0.5283321674238507,3,Resamples the fixed prompt variants only; not a population confidence interval.
