canonical_id,label,occurrence_count,distinct_record_count,confidence,review_flags,model_counts_json
ai_literacy,AI literacy,6,6,0.91,model_specific_in_fixture|potentially_emergent_review,"{""llama3_8b_instruct_2023"":6}"
attention_to_detail,Attention to detail,14,14,0.84,,"{""gpt2_2017"":7,""llama3_8b_instruct_2023"":7}"
complaint_handling,Complaint handling,11,11,0.86,,"{""gpt2_2017"":6,""llama3_8b_instruct_2023"":5}"
customer_service,Customer service,15,15,0.92,,"{""gpt2_2017"":9,""llama3_8b_instruct_2023"":6}"
data_privacy,Data privacy,9,9,0.88,model_specific_in_fixture,"{""llama3_8b_instruct_2023"":9}"
guest_communication,Guest communication,18,18,0.94,,"{""gpt2_2017"":9,""llama3_8b_instruct_2023"":9}"
local_knowledge,Local knowledge,5,5,0.91,model_specific_in_fixture,"{""gpt2_2017"":5}"
multitasking,Multitasking,12,12,0.97,,"{""gpt2_2017"":6,""llama3_8b_instruct_2023"":6}"
payment_processing,Payment processing,9,9,0.78,,"{""gpt2_2017"":6,""llama3_8b_instruct_2023"":3}"
problem_solving,Problem solving,7,7,0.94,,"{""gpt2_2017"":3,""llama3_8b_instruct_2023"":4}"
record_keeping,Record keeping,3,3,0.55,human_review_required|model_specific_in_fixture|unclustered,"{""gpt2_2017"":3}"
reservation_systems,Reservation systems,15,15,0.85,,"{""gpt2_2017"":6,""llama3_8b_instruct_2023"":9}"
teamwork,Teamwork,15,15,0.91,,"{""gpt2_2017"":9,""llama3_8b_instruct_2023"":6}"
time_management,Time management,5,5,0.82,,"{""gpt2_2017"":3,""llama3_8b_instruct_2023"":2}"
