fixture_data,backend,artifact_warning,model_id,canonical_id,within_model_rank,bootstrap_rank_low,bootstrap_rank_high,effective_prompt_sample_size,uncertainty_warning,mean_model_relative_probability
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,ai_literacy,3,1,6,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.7478332039465289
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,attention_to_detail,4,1,10,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6456900693567837
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,complaint_handling,8,3,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5325582821000625
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,customer_service,11,5,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.37212162601713245
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,data_privacy,1,1,4,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.8212217050516056
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,guest_communication,5,1,11,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6264212613019561
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,local_knowledge,10,5,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4235791987893889
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,multitasking,7,4,10,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5511037656805836
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,payment_processing,9,2,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4750678367265882
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,problem_solving,13,10,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.2893061635603143
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,record_keeping,2,1,6,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.7751190231808768
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,reservation_systems,6,1,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5824230318953668
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,teamwork,12,9,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.29117345230375685
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen1_5_0_5b_chat_2024,time_management,14,9,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.2410781750868822
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,ai_literacy,13,6,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.3509390399454814
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,attention_to_detail,3,1,6,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6933873900167152
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,complaint_handling,8,6,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.40021969666184115
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,customer_service,5,1,11,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6011564492967106
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,data_privacy,6,5,10,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.5021738411085664
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,guest_communication,1,1,3,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.804046255563153
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,local_knowledge,14,10,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.2360624185286648
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,multitasking,2,1,4,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.762053099369511
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,payment_processing,9,6,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.3902790003834536
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,problem_solving,12,3,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.35331145392455854
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,record_keeping,10,7,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.37861734880596093
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,reservation_systems,4,2,7,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.6469497320422524
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,teamwork,7,3,13,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.4699825166363454
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,qwen3_5_0_8b_2026,time_management,11,5,14,3,Resamples the fixed prompt variants only; not a population confidence interval.,0.3703468817179718
