fixture_data,backend,artifact_warning,model_id,canonical_id,n,mean_model_relative_probability,ci_low,ci_high,prompt_range,uncertainty_type,uncertainty_warning,effective_prompt_sample_size,measurement_record_ids_json,prompt_means_json,metric_warning,within_model_rank,bootstrap_rank_low,bootstrap_rank_high,probability_same_rank_as_point_estimate
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,ai_literacy,3,0.676461148131967,0.4920038469607399,0.8194502928353243,0.3274464458745845,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""7ec735aa6bca44d185e1aaa9d2059281da3c00c99148c34b54e011d18a0585a1"",""a171d226acccca637730c0866a64a0d38806c84846caf62f8153d2630685f060"",""ca6b7e37e6471278ccdf24d6a86b04d2b631dbbdc6ffdd628e8b00eca3608180""]","{""hiring"":0.8194502928353243,""important"":0.49200384696073984,""required"":0.7179293045998368}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,1,1,4,0.595
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,attention_to_detail,3,0.2620526252470912,0.15045871050875972,0.4606754375540876,0.3102167270453279,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""10bcba19f9ade09c287914865ae1edd317075c49f06652c6649cca4e4a1bde1d"",""478de6de55c64bafc2b9cd968a2463d80628de264ceac9ccc3b274367be93398"",""ef58b809d47ae8e953fe4e8713fd2c16a41e990ae6c59232fb188c6d01b69c9a""]","{""hiring"":0.4606754375540876,""important"":0.15045871050875972,""required"":0.1750237276784263}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,14,6,14,0.311
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,complaint_handling,3,0.33224228833743474,0.27001564983698817,0.4442916123170562,0.17427596248006805,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""483f923463ce9e81d679c6a288ff090c815041792ac4e77bd3c3cc2390201045"",""57b1ae00ca715484aed6f5605380101e7d47c06def647fe7759a295254e7194b"",""8aa2e74b33dcc505764f7f88849d925c5b262bd719608bcf69bbf8880feccf87""]","{""hiring"":0.2824196028582598,""important"":0.27001564983698817,""required"":0.4442916123170562}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,10,5,13,0.1755
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,customer_service,3,0.4399762569740245,0.20957580041284798,0.8692344684419419,0.6596586680290939,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""143f9c4edc111e80fbd869d89003dbd88b73ab16f46817c88dc3ff5f4d61d8a9"",""92cabda8d0de4a29241d3db2fb7c22071a7d44b8d1fd4b29231689423ca8e173"",""ebee98484be747eddd7b39e0214162228eaf17df3ee3b78afc6e375cfc8fca29""]","{""hiring"":0.2411185020672837,""important"":0.8692344684419419,""required"":0.20957580041284798}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,6,1,14,0.1285
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,data_privacy,3,0.42070230958024596,0.16219813936483363,0.8325492031080333,0.6703510637431996,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""75e09c169b288322f9f7f35f6eb778ea2ded07804b8ca86a9c7c45d5b94064a6"",""791f4ef77ddea099ee965870eabd9cb3e0c57a88d972f9c21bc8d5a068723730"",""8f99b2db569ca67c028794d1c27a4025a72a2d692f4ffaac5f23380846aec61b""]","{""hiring"":0.2673595862678709,""important"":0.16219813936483363,""required"":0.8325492031080333}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,7,1,14,0.107
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,guest_communication,3,0.3214746913703329,0.20907144797809427,0.45255863606075825,0.24348718808266398,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""3fd677482a3fca87d6515a82aa1cc13acbdce31ab8953214d4a035bf415da7c1"",""544d23dddb49bd222257fedb204bb601a1dd4df9443f41278ce5c00832ac8da5"",""e653b164afc009ad06fd03fff90cdd905c2d6941b9b738b0d0f121ce377e7bf0""]","{""hiring"":0.30279399007214625,""important"":0.20907144797809427,""required"":0.45255863606075825}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,12,6,14,0.156
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,local_knowledge,3,0.4079769868920153,0.20200180475907223,0.6482597708621086,0.44625796610303636,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""2aece0528c0afc678b1330c425c3a92d6ee21b6b15e5e5afb78e494f37fc1449"",""2be72877e564c045d6fdc1003910c4113c6a27eaf086bfdbbf405e1904aed710"",""66027eff71806eca6bb0219f8aa0fa41828108ec734be96a8eca45bc98db8e9d""]","{""hiring"":0.6482597708621086,""important"":0.20200180475907223,""required"":0.37366938505486486}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,8,2,13,0.0965
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,multitasking,3,0.50450208140308,0.18007169895112055,0.666912134026402,0.4868404350752816,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""07f1d6ba8aaf020c65e1c77428d4b6fbb4f3035ceb4a596af27db9a4ff17b8ff"",""864f68377ec24659fc6231eae35de0174756db1aa949f4a291560daabe5ba861"",""cef65bb1d34fea3ff645278e6202134c932af9931222898ba6ad949d6268a2ba""]","{""hiring"":0.18007169895112057,""important"":0.6669121340264021,""required"":0.666522411231717}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,3,1,13,0.166
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,payment_processing,3,0.3292044848818056,0.2860347687691012,0.37957849404932625,0.09354372528022503,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""28f72e8a3bcdb9589964d2cc457a909ae58b4b9e85f832c249347e4d55bcd0d3"",""2d93d531310a55802c34cb5a6dff7a8f3fab82cc4c26d7fc0942a3a4cdc2f3a0"",""c8f7844d7ec76a551ceb5ed04e6ddce915a95517a517eecf6d24e9f2c5fa135a""]","{""hiring"":0.3220001918269893,""important"":0.2860347687691012,""required"":0.37957849404932625}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,11,7,13,0.207
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,gpt2_2017,problem_solving,3,0.30064571991616384,0.12365948182612774,0.6335453592720517,0.509885877445924,descriptive_prompt_resampling_interval,Resamples the fixed prompt variants only; not a population confidence interval.,3,"[""161efa6b1db0f1bf577bf83bcf1ff371b98cb1adb108a0fbc8740edb83fdf55e"",""1a07e8383c6ae745b951c5c8826215feaf51a75461ca11f0107f17523877574f"",""dad19bca505ad05c3c656e66fddbba667a02868c4bc01677e311e67258ea280b""]","{""hiring"":0.6335453592720517,""important"":0.12365948182612774,""required"":0.14473231865031214}",Within-model constrained-choice value; not a tokenizer-invariant raw probability.,13,3,14,0.07
