model_id,canonical_id,sequence_total_rank,length_normalized_rank,rank_change,sequence_total_probability,length_normalized_probability
gpt2_2017,ai_literacy,1,1,0,0.676461148131967,0.46607831718772913
gpt2_2017,attention_to_detail,14,14,0,0.2620526252470912,0.17950594416091806
gpt2_2017,complaint_handling,10,10,0,0.33224228833743474,0.21951247456055203
gpt2_2017,customer_service,6,4,-2,0.4399762569740245,0.3256170818266762
gpt2_2017,data_privacy,7,6,-1,0.42070230958024596,0.3046682400017708
gpt2_2017,guest_communication,12,12,0,0.3214746913703329,0.2135278782780822
gpt2_2017,local_knowledge,8,8,0,0.4079769868920153,0.27156917032356087
gpt2_2017,multitasking,3,3,0,0.50450208140308,0.339039496810799
gpt2_2017,payment_processing,11,11,0,0.3292044848818056,0.21706507226667096
gpt2_2017,problem_solving,13,13,0,0.30064571991616384,0.20828656343245677
gpt2_2017,record_keeping,4,5,1,0.46933880739147965,0.31001716845264676
gpt2_2017,reservation_systems,2,2,0,0.5362960039456516,0.3702538306150886
gpt2_2017,teamwork,5,7,2,0.4516242386790947,0.3016295417322948
gpt2_2017,time_management,9,9,0,0.33896803542763654,0.22613677069321492
llama3_8b_instruct_2023,ai_literacy,7,7,0,0.5408145249810618,0.36425628737803445
llama3_8b_instruct_2023,attention_to_detail,11,13,2,0.38404488250933383,0.25665622669605154
llama3_8b_instruct_2023,complaint_handling,6,6,0,0.5691886490799467,0.3795129966096413
llama3_8b_instruct_2023,customer_service,2,3,1,0.6402626681237864,0.4221919427156143
llama3_8b_instruct_2023,data_privacy,5,5,0,0.5730031730206243,0.4005306031381029
llama3_8b_instruct_2023,guest_communication,1,1,0,0.8424321310209383,0.6244994693630451
llama3_8b_instruct_2023,local_knowledge,3,2,-1,0.633964348786346,0.45772839618990496
llama3_8b_instruct_2023,multitasking,12,12,0,0.38145454847762483,0.26962543859355037
llama3_8b_instruct_2023,payment_processing,13,11,-2,0.3808543817309526,0.2820825068637704
llama3_8b_instruct_2023,problem_solving,4,4,0,0.591745770457037,0.4024370368351066
llama3_8b_instruct_2023,record_keeping,9,9,0,0.4540809861290727,0.304468462097017
llama3_8b_instruct_2023,reservation_systems,10,10,0,0.44843547824948166,0.28972585696893866
llama3_8b_instruct_2023,teamwork,14,14,0,0.319797742770144,0.2137464813200256
llama3_8b_instruct_2023,time_management,8,8,0,0.46470088349182365,0.31212898093637376
