fixture_data,backend,artifact_warning,canonical_id,earlier_model_id,later_model_id,earlier_rank,later_rank,rank_change_later_minus_earlier,comparison_axis,interpretation_warning
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,ai_literacy,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,3,13,10,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,attention_to_detail,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,4,3,-1,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,complaint_handling,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,8,8,0,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,customer_service,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,11,5,-6,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,data_privacy,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,1,6,5,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,guest_communication,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,5,1,-4,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,local_knowledge,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,10,14,4,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,multitasking,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,7,2,-5,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,payment_processing,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,9,9,0,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,problem_solving,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,13,12,-1,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,record_keeping,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,2,10,8,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,reservation_systems,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,6,4,-2,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,teamwork,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,12,7,-5,model_release_generation,Model-order rank change; not historical labour-market demand.
True,fixture,SYNTHETIC FIXTURE: software verification only; not empirical.,time_management,qwen1_5_0_5b_chat_2024,qwen3_5_0_8b_2026,14,11,-3,model_release_generation,Model-order rank change; not historical labour-market demand.
