canonical_id,label,occurrence_count,distinct_record_count,confidence,review_flags,model_counts_json
ai_literacy,AI literacy,6,6,0.91,taxonomy_sensitivity_alternative,"{""qwen3_5_0_8b_2026"":6}"
accuracy,Accuracy,5,5,0.84,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":3,""qwen3_5_0_8b_2026"":2}"
attention_to_detail,Attention to detail,9,9,0.84,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":4,""qwen3_5_0_8b_2026"":5}"
cash_handling,Cash handling,4,4,0.78,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":3,""qwen3_5_0_8b_2026"":1}"
complaint_handling,Complaint handling,8,8,0.86,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":4,""qwen3_5_0_8b_2026"":4}"
conflict_resolution,Conflict resolution,3,3,0.86,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":2,""qwen3_5_0_8b_2026"":1}"
customer_service,Customer service,15,15,0.92,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":9,""qwen3_5_0_8b_2026"":6}"
data_privacy,Data privacy,9,9,0.88,taxonomy_sensitivity_alternative,"{""qwen3_5_0_8b_2026"":9}"
guest_communication,Guest communication,18,18,0.94,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":9,""qwen3_5_0_8b_2026"":9}"
local_knowledge,Local knowledge,5,5,0.91,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":5}"
multitasking,Multitasking,12,12,0.97,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":6,""qwen3_5_0_8b_2026"":6}"
pms_proficiency,PMS proficiency,6,6,0.85,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":1,""qwen3_5_0_8b_2026"":5}"
payment_processing,Payment processing,5,5,0.78,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":3,""qwen3_5_0_8b_2026"":2}"
prioritization,Prioritization,2,2,0.82,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":1,""qwen3_5_0_8b_2026"":1}"
problem_solving,Problem solving,7,7,0.94,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":3,""qwen3_5_0_8b_2026"":4}"
record_keeping,Record keeping,3,3,0.55,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":3}"
reservation_systems,Reservation systems,9,9,0.85,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":5,""qwen3_5_0_8b_2026"":4}"
teamwork,Teamwork,15,15,0.91,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":9,""qwen3_5_0_8b_2026"":6}"
time_management,Time management,3,3,0.82,taxonomy_sensitivity_alternative,"{""qwen1_5_0_5b_chat_2024"":2,""qwen3_5_0_8b_2026"":1}"
