mapping_id,record_id,model_id,prompt_variant,seed,line_number,raw_phrase,normalized_phrase,proposed_canonical,confidence,review_flags,fixture
2dc9443d580c6842ca807e1490d17853380f1e98caf4a13680e175a906ec7d19,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,1,Guest communication,guest communication,Guest communication,0.94,,True
f5d6be71ed87dced6de1ea227c17b35d89637a39dcba3b72a56a88cad4b40c63,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,2,Hospitality service,hospitality service,Customer service,0.92,,True
e434b716902a24af3f44854f119accc25987eb1890cbbafe9589f283978b217c,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,3,Complaint handling,complaint handling,Complaint handling,0.86,,True
261625606ee4e54ffec68c554078defdfde1761507fd5f6cff7df1978c4d792d,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,4,Reservation systems,reservation systems,Reservation systems,0.85,,True
a260c62b584f38f838e2e6a1797378b9785c26930efef53a0b46e0f235ba3284,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,5,Attention to detail,attention to detail,Attention to detail,0.84,,True
23cd383da1e690b669444ddb6063b32ced36202ca9e428cbff789195923b9df9,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,6,Multitasking,multitasking,Multitasking,0.97,,True
378cb6ced417560f23ea9968b1cc8f92c4595033d455ec0338beda2e488112f1,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,7,Collaboration,collaboration,Teamwork,0.91,,True
2bf78b16f5f6aecd49978a3ff4c18baff6a7f569e6078f488dfa397295581d2c,0bb26c511c3221145df7c781479c903da3b5d977f30a4f3f7cdd642b6b1bb627,qwen1_5_0_5b_chat_2024,task_anchored,202,8,Payment processing,payment processing,Payment processing,0.78,,True
c9369e2c4c681cf71beb37486ca97d5ca0a5fd0457043be05bdfdc3eb4e4b579,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,1,Communication,communication,Guest communication,0.94,,True
9a7384d745c1b3282b69675de872d41d59ff4b6025117ce6479ddf89301c6487,1088ac30225eec10b7751bdf50f03b678e4146664df4cc51663ca6d14825dfdc,qwen3_5_0_8b_2026,scenario,202,2,Guest service,guest service,Customer service,0.92,,True
