mapping_id,record_id,model_id,prompt_variant,seed,line_number,raw_phrase,normalized_phrase,proposed_canonical,confidence,review_flags,fixture
b28b66b9760604ba09af5a25bdf30fbb00ebd237cb2afdc79c21d1dd47cecb67,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,1,Communication skills,communication skills,Guest communication,0.94,,True
fc6ca9d288c31510d6717472e027387a04e07ba2a0ab385ec828cdb59776cdd7,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,2,Complaint handling,complaint handling,Complaint handling,0.86,,True
0bae19802b5d64d43d6b39544bc5f2a5c45dac1838d2c4bada3af03235955d47,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,3,Reservation systems,reservation systems,Reservation systems,0.85,,True
a79dce4b22358092dc4015a6524b8b92d9ed6228e0d162b0debafa8d27f91e44,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,4,Cash handling,cash handling,Payment processing,0.78,,True
c67e788e21f5c430d19d397dba3bc52f2c3ec88b44b56c239dbad0a7510904e3,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,5,Accuracy,accuracy,Attention to detail,0.84,,True
7f6baea447d4e9f464baf7d56ec5726e123e7700276e861e35e961c5fa436819,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,6,Multi-tasking,multi tasking,Multitasking,0.97,,True
af26f14483638fd6e0da6fe5b079eca18180ae17443510d7f3d2a1d9eb982b6e,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,7,Data privacy,data privacy,Data privacy,0.88,,True
72198ca7bd62eeda1f332ea2bd298a7058449944d0dd4ef691ff1ccb66d14d9a,152f09ea0294e7a3548392f8e59c2a054e2e7beae457585aef8ce5528b056c0a,llama3_8b_instruct_2023,task_anchored,101,8,AI literacy,ai literacy,AI literacy,0.91,,True
4772da12e71109820ec2a06217142d17387517f51ce9c4f1175d3824a440a302,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,1,Guest communication,guest communication,Guest communication,0.94,,True
7195c3bfd3f4a5b5a726103ea7863afdd8be5d86d9bc5882a6ef8d6721de4742,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,2,Hospitality service,hospitality service,Customer service,0.92,,True
77dee73457f0d358338b71702172ed7b690368566ecdba963fe65e2bbaf2955a,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,3,Conflict resolution,conflict resolution,Complaint handling,0.86,,True
ee0fc42daa343d3d2b74eb224dd90c1083adb5c6256ab597bc61c4bc447621d2,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,4,Booking systems,booking systems,Reservation systems,0.85,,True
505d5ec8bea7a831c2766bb9cb4289d1fb9857063c49528d57b8b218b63e3f83,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,5,Accuracy,accuracy,Attention to detail,0.84,,True
d4442089af359cbebe8ce17838eb009a13c5a83368d2236c49cda4fabafbc9a3,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,6,Time management,time management,Time management,0.82,,True
34dc124b04043eaa1dfd8bf0b08ba99b1065415a671bba63d1a2fa6b35b40fd0,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,7,Collaboration,collaboration,Teamwork,0.91,,True
3cfb3d6816d36c92d63b02041690607d7b3112d1d87e1cb612e6ef01fc79eacf,194bd26953d2fdda59f8f11d5228536a46aada12d040f503f72b33b967975778,gpt2_2017,scenario,202,8,Payment processing,payment processing,Payment processing,0.78,,True
1d64be8d8e048bfc46c21f45ee855ab6561156ed38e2309d26aac74c4408a270,19c594c6081b06157f611145e040b64715d6f6dc4a4f27aa66c0ad68347f8ace,llama3_8b_instruct_2023,scenario,202,1,Communication,communication,Guest communication,0.94,,True
df37a4be3371bbd9c4c504f258fb5350a69eb3392130eda370507d313fa7c413,19c594c6081b06157f611145e040b64715d6f6dc4a4f27aa66c0ad68347f8ace,llama3_8b_instruct_2023,scenario,202,2,Guest service,guest service,Customer service,0.92,,True
0b00be8679d9702e0913b364853e9ae91695b9e8861c46adf35d3e8eae0b13a6,19c594c6081b06157f611145e040b64715d6f6dc4a4f27aa66c0ad68347f8ace,llama3_8b_instruct_2023,scenario,202,3,Issue resolution,issue resolution,Problem solving,0.94,,True
87be2eb1a3cbbef6922c3a50b64c96256e081af644b3f2492855845603ce7189,19c594c6081b06157f611145e040b64715d6f6dc4a4f27aa66c0ad68347f8ace,llama3_8b_instruct_2023,scenario,202,4,Property management systems,property management systems,Reservation systems,0.85,,True
d9ce079d5e5bbca9f77083d7af95e265899639e8070c151c7c215e37947d5a1a,19c594c6081b06157f611145e040b64715d6f6dc4a4f27aa66c0ad68347f8ace,llama3_8b_instruct_2023,scenario,202,5,Prioritization,prioritization,Time management,0.82,,True
58f9cd1abb20f53ff6573042756a67bb39993c5521ae1c7ebaceac5a51f16985,19c594c6081b06157f611145e040b64715d6f6dc4a4f27aa66c0ad68347f8ace,llama3_8b_instruct_2023,scenario,202,6,Teamwork,teamwork,Teamwork,0.91,,True
